
	Frequency of annotations called from Tabulated file
NON_SYNONYMOUS_CODING,SPLICE_SITE&INTRONIC	4
NON_SYNONYMOUS_CODING,SPLICE_SITE&INTRONIC,UPSTREAM	2
NON_SYNONYMOUS_CODING,STOP_GAINED	7
NON_SYNONYMOUS_CODING,STOP_GAINED,UPSTREAM	1
NON_SYNONYMOUS_CODING,STOP_LOST	5
NON_SYNONYMOUS_CODING,STOP_LOST,UPSTREAM	1
NON_SYNONYMOUS_CODING,SYNONYMOUS_CODING	743
NON_SYNONYMOUS_CODING,SYNONYMOUS_CODING,UPSTREAM	185
NON_SYNONYMOUS_CODING,UPSTREAM	1094
SPLICE_SITE&3PRIME_UTR	2
SPLICE_SITE&3PRIME_UTR,SPLICE_SITE&SYNONYMOUS_CODING	1
SPLICE_SITE&5PRIME_UTR	2
SPLICE_SITE&INTRONIC	81
SPLICE_SITE&INTRONIC,SPLICE_SITE&SYNONYMOUS_CODING	1
SPLICE_SITE&INTRONIC,SYNONYMOUS_CODING	7
SPLICE_SITE&INTRONIC,SYNONYMOUS_CODING,UPSTREAM	3
SPLICE_SITE&INTRONIC,UPSTREAM	20
SPLICE_SITE&SYNONYMOUS_CODING	24
SPLICE_SITE&SYNONYMOUS_CODING,SYNONYMOUS_CODING	5
SPLICE_SITE&SYNONYMOUS_CODING,SYNONYMOUS_CODING,UPSTREAM	6
SPLICE_SITE&SYNONYMOUS_CODING,UPSTREAM	9
STOP_GAINED	7
STOP_GAINED,SYNONYMOUS_CODING	34
STOP_GAINED,SYNONYMOUS_CODING,UPSTREAM	4
STOP_GAINED,UPSTREAM	4
STOP_LOST	2
STOP_LOST,SYNONYMOUS_CODING	23
STOP_LOST,SYNONYMOUS_CODING,UPSTREAM	4
STOP_LOST,UPSTREAM	1
SYNONYMOUS_CODING	15946
SYNONYMOUS_CODING,NON_SYNONYMOUS_CODING	4
SYNONYMOUS_CODING,UPSTREAM	3482
UPSTREAM	1430

137924
