
	Frequency of annotations called from Tabulated file
SPLICE_SITE&INTRONIC,UPSTREAM	10
SPLICE_SITE&SYNONYMOUS_CODING	12
SPLICE_SITE&SYNONYMOUS_CODING,UPSTREAM	3
STOP_GAINED	1
STOP_GAINED,SYNONYMOUS_CODING	14
STOP_GAINED,SYNONYMOUS_CODING,UPSTREAM	3
STOP_GAINED,UPSTREAM	2
STOP_LOST	2
STOP_LOST,SYNONYMOUS_CODING	5
STOP_LOST,UPSTREAM	1
SYNONYMOUS_CODING	3306
SYNONYMOUS_CODING,UPSTREAM	665
UPSTREAM	937

38815
