
	Frequency of annotations called from Tabulated file
DOWNSTREAM,STOP_GAINED,SYNONYMOUS_CODING,UPSTREAM	2
DOWNSTREAM,STOP_GAINED,UPSTREAM	3
DOWNSTREAM,STOP_LOST,SYNONYMOUS_CODING	2
DOWNSTREAM,STOP_LOST,SYNONYMOUS_CODING,UPSTREAM	1
DOWNSTREAM,SYNONYMOUS_CODING	1343
DOWNSTREAM,SYNONYMOUS_CODING,UPSTREAM	577
DOWNSTREAM,UPSTREAM	1728
ESSENTIAL_SPLICE_SITE	3
ESSENTIAL_SPLICE_SITE,INTRONIC,UPSTREAM	1
ESSENTIAL_SPLICE_SITE,NON_SYNONYMOUS_CODING	1
ESSENTIAL_SPLICE_SITE,SPLICE_SITE&3PRIME_UTR	1
ESSENTIAL_SPLICE_SITE,UPSTREAM	2
INTERGENIC	1080
INTRONIC	10453
INTRONIC,NON_SYNONYMOUS_CODING	135
INTRONIC,NON_SYNONYMOUS_CODING,SPLICE_SITE&INTRONIC,UPSTREAM	1
INTRONIC,NON_SYNONYMOUS_CODING,SYNONYMOUS_CODING	5
INTRONIC,NON_SYNONYMOUS_CODING,SYNONYMOUS_CODING,UPSTREAM	5
INTRONIC,NON_SYNONYMOUS_CODING,UPSTREAM	58
INTRONIC,SPLICE_SITE&5PRIME_UTR,UPSTREAM	1
INTRONIC,SPLICE_SITE&INTRONIC	3
INTRONIC,SPLICE_SITE&INTRONIC,UPSTREAM	8
INTRONIC,SPLICE_SITE&SYNONYMOUS_CODING	2
INTRONIC,SPLICE_SITE&SYNONYMOUS_CODING,UPSTREAM	1
INTRONIC,STOP_GAINED	2
INTRONIC,STOP_GAINED,SYNONYMOUS_CODING	1
INTRONIC,STOP_GAINED,SYNONYMOUS_CODING,UPSTREAM	2
INTRONIC,STOP_GAINED,UPSTREAM	1
INTRONIC,SYNONYMOUS_CODING	212
INTRONIC,SYNONYMOUS_CODING,UPSTREAM	70
INTRONIC,UPSTREAM	2581
INTRONIC,WITHIN_MATURE_miRNA	1
NON_SYNONYMOUS_CODING	1690
NON_SYNONYMOUS_CODING&SPLICE_SITE	5
NON_SYNONYMOUS_CODING&SPLICE_SITE,SYNONYMOUS_CODING	1
